"利用日/キャンセル日","利用店名・商品名","利用者","決済方法","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額","調整額","当月お支払日"
"2025/11/30","ソフトバンクМ","本人*","PayPayカード","1回","4536","0","4536","4536","0","0","2026/1/27"
"2025/12/1","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","家族*","PayPayクレジット","1回","2238","0","2238","2238","0","0","2026/1/27"
"2025/12/1","ユ－ネクストサ－ビス利用料","家族*","PayPayカード","1回","2189","0","2189","2189","0","0","2026/1/27"
"2025/12/2","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","家族*","PayPayクレジット","1回","2532","0","2532","2532","0","0","2026/1/27"
"2025/12/2","やきとりｋｕｋｕ","家族*","PayPayクレジット","1回","1054","0","1054","1054","0","0","2026/1/27"
"2025/12/2","カスミ","本人*","PayPayクレジット","1回","812","0","812","812","0","0","2026/1/27"
"2025/12/4","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","家族*","PayPayクレジット","1回","2630","0","2630","2630","0","0","2026/1/27"
"2025/12/4","ＳＡＭＯＳＡ　ＫＯＮＯＳＵ","家族*","PayPayクレジット","1回","934","0","934","934","0","0","2026/1/27"
"2025/12/4","ファミリーマート","本人*","PayPayクレジット","1回","305","0","305","305","0","0","2026/1/27"
"2025/12/4","東京ガス　１７４７－３８９－１０５３","本人*","PayPayカード","1回","6109","0","6109","6109","0","0","2026/1/27"
"2025/12/5","ＢＢ．ｅｘｃｉｔｅ","本人*","PayPayカード","1回","4950","0","4950","4950","0","0","2026/1/27"
"2025/12/6","Ｙａｈｏｏ！ショッピング","本人*","PayPayクレジット","1回","22991","0","22991","22991","0","0","2026/1/27"
"2025/12/6","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","3404","0","3404","3404","0","0","2026/1/27"
"2025/12/7","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","4060","0","4060","4060","0","0","2026/1/27"
"2025/12/7","ウエルシア","家族*","PayPayクレジット","1回","1972","0","1972","1972","0","0","2026/1/27"
"2025/12/7","Ｙａｈｏｏ！ショッピング","本人*","PayPayクレジット","1回","1958","0","1958","1958","0","0","2026/1/27"
"2025/12/7","マクドナルドモバイルオーダ","本人*","PayPayクレジット","1回","1810","0","1810","1810","0","0","2026/1/27"
"2025/12/7","東京電力　電気料金等　０７年１１月分","本人*","PayPayカード","1回","11325","0","11325","11325","0","0","2026/1/27"
"2025/12/9","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","2551","0","2551","2551","0","0","2026/1/27"
"2025/12/9","ファミリーマート","本人*","PayPayクレジット","1回","626","0","626","626","0","0","2026/1/27"
"2025/12/10","カスミ","家族*","PayPayクレジット","1回","4120","0","4120","4120","0","0","2026/1/27"
"2025/12/10","パン工房ファイン","家族*","PayPayクレジット","1回","180","0","180","180","0","0","2026/1/27"
"2025/12/11","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","3877","0","3877","3877","0","0","2026/1/27"
"2025/12/11","アカチャンホンポ","家族*","PayPayクレジット","1回","1768","0","1768","1768","0","0","2026/1/27"
"2025/12/11","こうのすやつけしん","家族*","PayPayクレジット","1回","637","0","637","637","0","0","2026/1/27"
"2025/12/11","ファミリーマート","本人*","PayPayクレジット","1回","308","0","308","308","0","0","2026/1/27"
"2025/12/11","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","家族*","PayPayクレジット","1回","162","0","162","162","0","0","2026/1/27"
"2025/12/11","ＧＯＯＧＬＥ　＊ＴＯＥＩ　ＣＯＭＰＡＮＹ","本人*","PayPayカード","1回","960","0","960","960","0","0","2026/1/27"
"2025/12/12","ライフ","本人*","PayPayクレジット","1回","599","0","599","599","0","0","2026/1/27"
"2025/12/12","パン工房ファイン","家族*","PayPayクレジット","1回","404","0","404","404","0","0","2026/1/27"
"2025/12/13","はま寿司","本人*","PayPayクレジット","1回","2805","0","2805","2805","0","0","2026/1/27"
"2025/12/13","マクドナルドモバイルオーダ","本人*","PayPayクレジット","1回","1530","0","1530","1530","0","0","2026/1/27"
"2025/12/14","ＡＳＢｅｅ","本人*","PayPayクレジット","1回","4851","0","4851","4851","0","0","2026/1/27"
"2025/12/14","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","3143","0","3143","3143","0","0","2026/1/27"
"2025/12/14","西松屋チェーン","本人*","PayPayクレジット","1回","2973","0","2973","2973","0","0","2026/1/27"
"2025/12/14","マクドナルドモバイルオーダ","本人*","PayPayクレジット","1回","1110","0","1110","1110","0","0","2026/1/27"
"2025/12/15","カスミ","家族*","PayPayクレジット","1回","2898","0","2898","2898","0","0","2026/1/27"
"2025/12/15","ヤフー　ジェットドラッグ","本人*","PayPayカード","1回","2207","0","2207","2207","0","0","2026/1/27"
"2025/12/15","パン工房ファイン","家族*","PayPayクレジット","1回","190","0","190","190","0","0","2026/1/27"
"2025/12/15","Ｃｈａ　Ｃｈａ　Ｃｈａ","家族*","PayPayカード","1回","19437","0","19437","19437","0","0","2026/1/27"
"2025/12/16","Ｙａｈｏｏ！ショッピング","本人*","PayPayクレジット","1回","1772","0","1772","1772","0","0","2026/1/27"
