"利用日/キャンセル日","利用店名・商品名","利用者","決済方法","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額","調整額","当月お支払日"
"2025/5/31","ソフトバンクМ","本人*","PayPayカード","1回","3325","0","3325","3325","0","0","2025/7/28"
"2025/6/1","マツモトキヨシ","本人*","PayPayクレジット","1回","4570","0","4570","4570","0","0","2025/7/28"
"2025/6/1","カスミ","本人*","PayPayクレジット","1回","2638","0","2638","2638","0","0","2025/7/28"
"2025/6/1","モスバーガー","本人*","PayPayクレジット","1回","2040","0","2040","2040","0","0","2025/7/28"
"2025/6/1","モスバーガー","本人*","PayPayクレジット","1回","400","0","400","400","0","0","2025/7/28"
"2025/6/1","ＮｅｗＤａｙｓ","本人*","PayPayクレジット","1回","170","0","170","170","0","0","2025/7/28"
"2025/6/1","星野リゾート／タイムデザイン旅行手配","本人*","PayPayカード","1回","38900","0","38900","38900","0","0","2025/7/28"
"2025/6/2","アカチャンホンポ","家族*","PayPayクレジット","1回","3515","0","3515","3515","0","0","2025/7/28"
"2025/6/2","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","1123","0","1123","1123","0","0","2025/7/28"
"2025/6/2","イトーヨーカドー　専門店","家族*","PayPayクレジット","1回","1030","0","1030","1030","0","0","2025/7/28"
"2025/6/2","マクドナルドモバイルオーダ","本人*","PayPayクレジット","1回","630","0","630","630","0","0","2025/7/28"
"2025/6/3","カスミ","家族*","PayPayクレジット","1回","3150","0","3150","3150","0","0","2025/7/28"
"2025/6/3","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","599","0","599","599","0","0","2025/7/28"
"2025/6/3","ファミリーマート","家族*","PayPayクレジット","1回","160","0","160","160","0","0","2025/7/28"
"2025/6/4","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","1789","0","1789","1789","0","0","2025/7/28"
"2025/6/4","健康食卓わしや中野店","本人*","PayPayクレジット","1回","600","0","600","600","0","0","2025/7/28"
"2025/6/4","ライフ","本人*","PayPayクレジット","1回","63","0","63","63","0","0","2025/7/28"
"2025/6/5","西松屋チェーン","家族*","PayPayクレジット","1回","2711","0","2711","2711","0","0","2025/7/28"
"2025/6/5","ファミリーマート","家族*","PayPayクレジット","1回","185","0","185","185","0","0","2025/7/28"
"2025/6/5","ＢＢ．ｅｘｃｉｔｅ","本人*","PayPayカード","1回","4950","0","4950","4950","0","0","2025/7/28"
"2025/6/5","東京ガス　１７４７－３８９－１０５３","本人*","PayPayカード","1回","1085","0","1085","1085","0","0","2025/7/28"
"2025/6/6","カスミ","家族*","PayPayクレジット","1回","2480","0","2480","2480","0","0","2025/7/28"
"2025/6/7","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","2678","0","2678","2678","0","0","2025/7/28"
"2025/6/7","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","1189","0","1189","1189","0","0","2025/7/28"
"2025/6/8","カスミ","本人*","PayPayクレジット","1回","1775","0","1775","1775","0","0","2025/7/28"
"2025/6/8","東京電力　電気料金等　０７年０５月分","本人*","PayPayカード","1回","8102","0","8102","8102","0","0","2025/7/28"
"2025/6/8","ヤオコー鴻巣免許センター前店","家族*","PayPayカード","1回","1401","0","1401","1401","0","0","2025/7/28"
"2025/6/9","アカチャンホンポ","家族*","PayPayクレジット","1回","4614","0","4614","4614","0","0","2025/7/28"
"2025/6/9","マクドナルドモバイルオーダ","本人*","PayPayクレジット","1回","710","0","710","710","0","0","2025/7/28"
"2025/6/9","はなまる","家族*","PayPayクレジット","1回","620","0","620","620","0","0","2025/7/28"
"2025/6/9","イトーヨーカドー　専門店","家族*","PayPayクレジット","1回","228","0","228","228","0","0","2025/7/28"
"2025/6/10","カスミ","家族*","PayPayクレジット","1回","1842","0","1842","1842","0","0","2025/7/28"
"2025/6/10","ファミリーマート","家族*","PayPayクレジット","1回","185","0","185","185","0","0","2025/7/28"
"2025/6/12","ユニクロオンラインストア","本人*","PayPayクレジット","1回","17910","0","17910","17910","0","0","2025/7/28"
"2025/6/12","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","2397","0","2397","2397","0","0","2025/7/28"
"2025/6/12","ライフ","本人*","PayPayクレジット","1回","574","0","574","574","0","0","2025/7/28"
"2025/6/13","カスミ","家族*","PayPayクレジット","1回","2467","0","2467","2467","0","0","2025/7/28"
"2025/6/14","ココス","本人*","PayPayクレジット","1回","2016","0","2016","2016","0","0","2025/7/28"
"2025/6/14","セブンーイレブン","本人*","PayPayクレジット","1回","159","0","159","159","0","0","2025/7/28"
"2025/6/15","ドラッグストアセキ","本人*","PayPayクレジット","1回","2150","0","2150","2150","0","0","2025/7/28"
"2025/6/15","カスミ","本人*","PayPayクレジット","1回","1916","0","1916","1916","0","0","2025/7/28"
"2025/6/15","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","268","0","268","268","0","0","2025/7/28"
"2025/6/16","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","家族*","PayPayクレジット","1回","3701","0","3701","3701","0","0","2025/7/28"
"2025/6/16","ＳＡＭＯＳＡ　ＫＯＮＯＳＵ","家族*","PayPayクレジット","1回","928","0","928","928","0","0","2025/7/28"
"2025/6/16","マクドナルドモバイルオーダ","本人*","PayPayクレジット","1回","640","0","640","640","0","0","2025/7/28"
"2025/6/16","ファミリーマート","家族*","PayPayクレジット","1回","185","0","185","185","0","0","2025/7/28"
"2025/6/18","カスミ","家族*","PayPayクレジット","1回","3451","0","3451","3451","0","0","2025/7/28"
"2025/6/18","ＬＯＣＯＮＤＯ．ｊｐ（再計算）","家族*","PayPayカード","1回","8921","0","8921","8921","0","0","2025/7/28"
"2025/6/18","Ｃｈａ　Ｃｈａ　Ｃｈａ","家族*","PayPayカード","1回","19437","0","19437","19437","0","0","2025/7/28"
"2025/6/19","Ｙａｈｏｏ！ショッピング","本人*","PayPayクレジット","1回","3441","0","3441","3441","0","0","2025/7/28"
"2025/6/19","ヤマト運輸","家族*","PayPayクレジット","1回","1762","0","1762","1762","0","0","2025/7/28"
"2025/6/20","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","2401","0","2401","2401","0","0","2025/7/28"
"2025/6/20","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","家族*","PayPayクレジット","1回","1611","0","1611","1611","0","0","2025/7/28"
"2025/6/20","ＳＡＭＯＳＡ　ＫＯＮＯＳＵ","家族*","PayPayクレジット","1回","936","0","936","936","0","0","2025/7/28"
"2025/6/21","カスミ","本人*","PayPayクレジット","1回","1804","0","1804","1804","0","0","2025/7/28"
"2025/6/21","セブンーイレブン","本人*","PayPayクレジット","1回","1497","0","1497","1497","0","0","2025/7/28"
"2025/6/22","西松屋チェーン","家族*","PayPayクレジット","1回","5254","0","5254","5254","0","0","2025/7/28"
"2025/6/23","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","家族*","PayPayクレジット","1回","2301","0","2301","2301","0","0","2025/7/28"
"2025/6/23","ＳＡＭＯＳＡ　ＫＯＮＯＳＵ","家族*","PayPayクレジット","1回","934","0","934","934","0","0","2025/7/28"
"2025/6/24","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","家族*","PayPayクレジット","1回","2576","0","2576","2576","0","0","2025/7/28"
"2025/6/24","ＭＯＶＩＥ　ＷＡＬＫＥＲ","本人*","PayPayクレジット","1回","2530","0","2530","2530","0","0","2025/7/28"
"2025/6/24","ＳＡＭＯＳＡ　ＫＯＮＯＳＵ","家族*","PayPayクレジット","1回","936","0","936","936","0","0","2025/7/28"
"2025/6/25","請求書払い","本人*","PayPayクレジット","1回","21900","0","21900","21900","0","0","2025/7/28"
"2025/6/26","カスミ","家族*","PayPayクレジット","1回","3893","0","3893","3893","0","0","2025/7/28"
"2025/6/26","吉野家テイクアウト","本人*","PayPayクレジット","1回","1032","0","1032","1032","0","0","2025/7/28"
"2025/6/27","ファミリーマート","家族*","PayPayクレジット","1回","163","0","163","163","0","0","2025/7/28"
"2025/6/28","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","3902","0","3902","3902","0","0","2025/7/28"
"2025/6/28","Ｙａｈｏｏ！ショッピング","本人*","PayPayクレジット","1回","3800","0","3800","3800","0","0","2025/7/28"
"2025/6/28","ココス","本人*","PayPayクレジット","1回","2844","0","2844","2844","0","0","2025/7/28"
"2025/6/28","セリア","本人*","PayPayクレジット","1回","110","0","110","110","0","0","2025/7/28"
"2025/6/29","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","本人*","PayPayクレジット","1回","2001","0","2001","2001","0","0","2025/7/28"
"2025/6/30","ユニクロ","家族*","PayPayクレジット","1回","5272","0","5272","5272","0","0","2025/7/28"
"2025/6/30","ｂｌｏｏｍｉｎｇｂｌｏｏｍ","家族*","PayPayクレジット","1回","3059","0","3059","3059","0","0","2025/7/28"
"2025/6/30","ゴトークリーニング","家族*","PayPayクレジット","1回","1073","0","1073","1073","0","0","2025/7/28"
"2025/6/30","ミーツ国分寺","家族*","PayPayクレジット","1回","869","0","869","869","0","0","2025/7/28"
"2025/6/30","ルミネ新宿","家族*","PayPayクレジット","1回","754","0","754","754","0","0","2025/7/28"
"2025/6/30","マクドナルドモバイルオーダ","本人*","PayPayクレジット","1回","690","0","690","690","0","0","2025/7/28"
